Key,Type,Desc,English (United States),Chinese
Tutorial Texts/Disasters-Step09-01-Switch,Text,,"Select *Do Nothing* to expand the options, then scroll the options so that *Perform action 1 times on New Order* is set.",選擇*閒置*展開選項，然後滾動選項，將其設置為*收到新訂單時進行1次行動*。
Tutorial Texts/Disasters-Step09B-01,Text,,This will help us make sure the *Conveyor Grill* doesn't get more *Raw Patties* than strictly required.,這樣就可以確保*傳送帶烤架*不會收到比需要數量更多的*生肉餅*。
Tutorial Texts/Disasters-Step09C-01,Text,,Now close the *Order Reader* properties window.,接下來關閉*訂單讀取器*屬性窗口。
Tutorial Texts/Disasters-Step09C-01-Switch,Text,,Now select *OK* to close the settings panel and save your changes.,現在，選擇*確定*關閉設置面板，保存更改。
Tutorial Texts/Disasters-Step10-01,Text,,Click on the *START* button to see how our little contraption works!,點擊*開始*按鈕，看看裝置的運行情況吧！
Tutorial Texts/Disasters-Step10-01-Switch,Text,,Press [StartSimulation] to see how our little contraption works!,按下[StartSimulation]，看看我們這小小裝置的運行情況吧！
Tutorial Texts/Disasters-Step11-01,Text,,Nice! Let's see what happens!,好極了！就來看看效果到底如何吧！
Tutorial Texts/Disasters-Step12-01,Text,,"Amazing! We've managed to avoid the fire entirely! Remember, avoiding a disaster entirely is better than responding to disasters that are already happening!",棒極了！我們完全避免了火災的發生！記住，防患於未然總比事後救災好得多！
Tutorial Texts/Disasters-Step13-01,Text,,See you again soon minion!... Friend! I meant *friend*!,回頭見了，奴隸！...朋友！我想說的是*朋友*！
Tutorial Texts/Liquids-Step01-01,Text,,"Hello again, my dear human partner! Please, come in...",又見面了，我親愛的人類搭檔！快請進……
Tutorial Texts/Liquids-Step01-02,Text,,I was just doing regular human stuff like breathing oxygen and listening to the wireless...,我正在做人類常做的事，比如呼吸氧氣和聽取無線電波...
Tutorial Texts/Liquids-Step01-03,Text,,"Definitely not doing silly non-human things like coming up with a plan to take over the world, hehehe!",絕對不是在做什麼愚蠢的非人類事情，比如計劃統治世界什麼的，哈哈哈！
Tutorial Texts/Liquids-Step01-04,Text,,"Anyway, I wanted to teach you a few things about liquid ingredients today. ",總之，我今天要教你一些關於液體食材的事。
Tutorial Texts/Liquids-Step01-05,Text,,"Some complex meals will require liquid condiments, such as ketchup or mustard.",有一些複雜的菜肴需要液體調料，比如番茄醬或芥末。
Tutorial Texts/Liquids-Step01-06,Text,,"Right now I have this assembly line capable of producing *Cheesy Dogs*, which are just like regular hot dogs but with cheese on top.",目前我搞來了一個組裝線，可以製作*奶酪熱狗*，和普通熱狗差不多，不過上面放了奶酪。
Tutorial Texts/Liquids-Step01-07,Text,,What I want to do is to change it so it will produce *Ultimate Dogs*... Those are pretty much the same but adding *Ketchup* and *Mustard*.,我想要做的，是把它改裝一下，讓它生產*至尊熱狗*...基本上也沒什麼區別，不過要加上*番茄醬*和*芥末*。
Tutorial Texts/Liquids-Step02-01,Text,,The first step is to replace this regular *Assembler* with an *Advanced Assembler*.,第一步是用*高級組合機*替換掉這台普通的*組合機*。
Tutorial Texts/Liquids-Step02-02,Text,,Only *Advanced Assemblers* are capable of producing dishes that require liquid ingredients.,只有*高級組合機*可以生產需要液體食材的菜肴。
Tutorial Texts/Liquids-Step03-01,Text,,"So, *Left Click* on the *Assembler* to select it and then use the *{PartDelete}* key in order to remove it.",所以，*左鍵點擊**組合機*將其選中，然後使用*{PartDelete}*將其移除。
Tutorial Texts/Liquids-Step03-01-Switch,Text,,"So, highlight the *Assembler* then hold [Cancel] in order to remove it.",接下來，高亮選擇*組合機*，然後按住[Cancel]將其移除。
Tutorial Texts/Liquids-Step04-01,Text,,Now place an *Advanced Assembler* in the spot I've highlighted.,接下來在高亮顯示的位置放一台*高級組合機*。
Tutorial Texts/Liquids-Step05-01,Text,,Right click the *Advanced Assembler* and configure it to produce *Ultimate Dogs*.,右鍵單擊*高級組合機*，將其設置為生產*至尊熱狗*。
Tutorial Texts/Liquids-Step05-01-Switch,Text,,"Highlight the *Advanced Assembler*, press [ConfigurePart] then configure it to produce *Ultimate Dogs*.",高亮選擇*高級組合機*，按下[ConfigurePart]將其設置為生產*至尊熱狗*。
Tutorial Texts/Liquids-Step05-02,Text,,Now close the machine settings panel for the Advanced Assembler.,然後，關閉高級組合機的機器設置面板。
Tutorial Texts/Liquids-Step05-02-Switch,Text,,Now select *OK* to close the Properties Window for the Advanced Assembler.,接下來，選擇*確定*關閉高級組合機的屬性窗口。
Tutorial Texts/Liquids-Step06-01,Text,,Now we only need to set up a couple of machines in order to supply the *Ketchup* and *Mustard* needed to assemble the dish.,接下來，只需要再設置幾台機器，提供組合菜肴所需的*番茄醬*和*芥末*就好了。
Tutorial Texts/Liquids-Step06-02,Text,,Liquid ingredients come from *Storage Tanks* and need to be pumped in order to reach the place where you need them.,液體食材來自*儲罐*，需要使用泵機，才能把它們運到該去的地方。
Tutorial Texts/Liquids-Step06-03,Text,,"So, in order to move them around we're also going to need a *Pump*.",所以說，為了移動食材，我們還需要一台*泵機*。
Tutorial Texts/Liquids-Step07-01,Text,,"Select the *Storage Tank* in the parts list, then place *Two* of them in the locations I will mark on the floor.",在部件列表中選擇*儲罐*，然後在地板上的標記位置放置*兩個*。
Tutorial Texts/Liquids-Step08-01,Text,,"Select the *Pump* in the parts list, and place *Two* of them in the locations I will mark on the floor.",在部件列表中選擇*泵機*，然後在地板上的標記位置放置*兩個*。
Tutorial Texts/Liquids-Step09-01,Text,,Fantastic! Now let's configure this *Storage Tank* so its initial contents are set to *Ketchup*.,好極了！接下來對這個*儲罐*進行設置，把它的初始內容設置為*番茄醬*。
Tutorial Texts/Liquids-Step09-02,Text,,Now close the machine settings panel for the Storage Tank.,然後，關閉儲罐的機器設置面板。
Tutorial Texts/Liquids-Step09-02-Switch,Text,,Now select *OK* close the Properties Window for the Storage Tank.,接下來，選擇*確定*關閉儲罐的屬性窗口。
Tutorial Texts/Liquids-Step10-01,Text,,Perfect! Do the same thing for the other *Storage Tank* but this time setting it to *Mustard*.,完美！另外一個*儲罐*也是類似的設置，不過要設置成*芥末*。
Tutorial Texts/Liquids-Step11-01,Text,,"Now we have to set up the pipes in order to transport the liquids. First, right click on this *Pump* in order to open the properties window.",接下來，我們要設置管道，才能運輸液體。首先，右鍵點擊這個*泵機*，打開屬性窗口。
Tutorial Texts/Liquids-Step11-01-Switch,Text,,"Now we have to set up the pipes in order to transport the liquids. First, highlight this *Pump* then press [ConfigurePart] to open the properties window.",接下來，我們要設置管道，用來運輸液體。首先，高亮選擇這個*泵機*，並按下[ConfigurePart]打開屬性窗口。
Tutorial Texts/Liquids-Step12-01,Text,,Then click on the *+ NEW CONNECTION TO PART* button.,然後，點擊*+ 新建部件連接*按鈕。
Tutorial Texts/Liquids-Step12-01-Switch,Text,,Then select the *+ NEW CONNECTION TO PART* button.,然後選擇*+ 新建部件連接*按鈕。
Tutorial Texts/Liquids-Step13-01,Text,,Perfect! Now click on the pipe connection port on the *Storage Tank* containing the *Ketchup*.,完美！接下來，點擊裝有*番茄醬*的*儲罐*的管道連接口。
Tutorial Texts/Liquids-Step13-01-Switch,Text,,Perfect! Now highlight the *Storage Tank* containing the *Ketchup* and press [SelectPart].,完美！接下來，高亮選擇裝有*番茄醬*的*儲罐*，然後按下[SelectPart]。
Tutorial Texts/Liquids-Step14-01,Text,,"We now need to connect the *Pump* to the *Advanced Assembler*. Once again, click on the *+ NEW CONNECTION TO PART* button.",接下來，需要將*泵機*與*高級組合機*連接到一起。再次點擊*+ 新建部件連接*按鈕。
Tutorial Texts/Liquids-Step14-01-Switch,Text,,"We now need to connect the *Pump* to the *Advanced Assembler*. Once again, select the *+ NEW CONNECTION TO PART* button.",接下來，我們需要將*泵機*與*高級組合機*連接到一起。這次也一樣，選擇*+ 新建部件連接*按鈕。
Tutorial Texts/Liquids-Step15-01,Text,,And now click on one of the two free pipe connection ports on the *Advanced Assembler*.,接下來點擊*高級組合機*上兩個空閒的管道連接口之一。
Tutorial Texts/Liquids-Step15-01-Switch,Text,,And highlight the *Advanced Assembler* and press [SelectPart].,高亮選擇*高級組合機*，並按下[SelectPart]。
Tutorial Texts/Liquids-Step16-01,Text,,Now close the properties window for the *Pump*.,接下來關閉*泵機*的屬性窗口。
Tutorial Texts/Liquids-Step16-01-Switch,Text,,Now select *OK* to close the Properties Window for the *Pump*.,接下來，選擇*確定*關閉*泵機*的屬性窗口。
Tutorial Texts/Liquids-Step17-01,Text,,We need to do the same for the *Mustard* now. Right click on this *Pump* in order to open the properties window.,我們需要也對*芥末*進行相同的設置。右鍵點擊這個*泵機*，打開屬性窗口。
Tutorial Texts/Liquids-Step17-01-Switch,Text,,We need to do the same for the *Mustard* now. Highlight this *Pump* and press [ConfigurePart] to open the properties window.,我們需要也對*芥末*進行相同的設置。高亮選擇這個*泵機*，按下[ConfigurePart]打開屬性窗口。
Tutorial Texts/Liquids-Step18-01,Text,,Then click on the *+ NEW CONNECTION TO PART* button.,然後，點擊*+ 新建部件連接*按鈕。
Tutorial Texts/Liquids-Step18-01-Switch,Text,,Select the *+ NEW CONNECTION TO PART* button.,選擇*+ 新建部件連接*按鈕。
Tutorial Texts/Liquids-Step19-01,Text,,Click on the pipe connection port on the *Storage Tank* containing the *Mustard*.,點擊裝有*芥末*的*儲罐*的管道連接口。
Tutorial Texts/Liquids-Step19-01-Switch,Text,,Highlight the *Storage Tank* containing the *Mustard* and press [SelectPart] to make the connection.,高亮選擇裝有*芥末*的*儲罐*，然後按下[SelectPart]進行連接。
Tutorial Texts/Liquids-Step20-01,Text,,"We now need to connect the *Pump* to the *Advanced Assembler*. Once again, click on the *+ NEW CONNECTION TO PART* button.",接下來，需要將*泵機*與*高級組合機*連接到一起。再次點擊*+ 新建部件連接*按鈕。
Tutorial Texts/Liquids-Step20-01-Switch,Text,,"We now need to connect the *Pump* to the *Advanced Assembler*. Once again, select the *+ NEW CONNECTION TO PART* button.",接下來，我們需要將*泵機*與*高級組合機*連接到一起。這次也一樣，選擇*+ 新建部件連接*按鈕。
Tutorial Texts/Liquids-Step21-01,Text,,And now click on the free pipe connection port on the *Advanced Assembler*.,接下來點擊*高級組合機*上空閒的管道連接口。
Tutorial Texts/Liquids-Step21-01-Switch,Text,,And now highlight the *Advanced Assembler* and press [SelectPart] to make the connection.,接下來，高亮選擇*高級組合機*，並按下[SelectPart]進行連接。
Tutorial Texts/Liquids-Step22-01,Text,,Now close the properties window for the *Pump*.,接下來關閉*泵機*的屬性窗口。
Tutorial Texts/Liquids-Step22-01-Switch,Text,,Now select *OK* to close the Properties Window for the *Pump*.,接下來，選擇*確定*關閉*泵機*的屬性窗口。
Tutorial Texts/Liquids-Step23-01,Text,,Click on the *START* button to see how our little contraption works!,點擊*開始*按鈕，看看裝置的運行情況吧！
Tutorial Texts/Liquids-Step23-01-Switch,Text,,Press [StartSimulation] to see how our little contraption works!,按下[StartSimulation]，看看我們這小小裝置的運行情況吧！
Tutorial Texts/Liquids-Step24-01,Text,,Nice! Let's see what happens!,好極了！就來看看效果到底如何吧！
Tutorial Texts/Liquids-Step25-01,Text,,Great job! Together we'll rule the world... of fast-food!,幹得漂亮！很快我們就會統治世界...快餐的世界！
Tutorial Texts/Liquids-Step26-01,Text,,Goodbye!,再見！
Tutorial Texts/OrderReader-Step01-01,Text,,"Ah, you’re back! I was just converting oxygen into carbon dioxide, as we like to do! Don’t we, friend?",啊，你回來了！我正在將氧氣轉化為二氧化碳，人類都這樣的！你說是不是，朋友？
Tutorial Texts/OrderReader-Step01-02,Text,,"It’s time to learn about how we can make our kitchens more efficient, so we don’t waste ingredients or energy!",是時候學習一下如何避免食材與電力浪費，讓我們的廚房變得更有效率了！
Tutorial Texts/OrderReader-Step01-03,Text,,"But first, I need you to finish this kitchen layout. Currently it’s layout is suited for *Plain Burgers*, but I need it to produce *Cheeseburgers*",不過，首先我需要你完成這個廚房的佈局。目前的佈局是給*簡單漢堡*用的，不過我需要它生產的是*奶酪漢堡*。
Tutorial Texts/OrderReader-Step01-04,Text,,"It’s always a good idea to look at the recipe first! Let’s see what ingredients are needed, so we know what machines to place. Click on the *Recipe* button to view the *Cheeseburger* recipe.",先看看食譜總不是什麼壞主意！先看看需要什麼食材，才好確定需要放置什麼機器。點擊*食譜按鈕*，查看*奶酪漢堡*的食譜。
Tutorial Texts/OrderReader-Step01-04-Switch,Text,,"It’s always a good idea to look at the recipe first! Let’s see what ingredients are needed, so we know what machines to place. Press [ToggleRecipes] to view the *Cheeseburger* recipe.",先看看食譜總不是什麼壞主意！先看看需要什麼食材，才好確定需要放置什麼機器。按下[ToggleRecipes]，查看*奶酪漢堡*的食譜。
Tutorial Texts/OrderReader-Step02-01,Text,,"This recipe requires *Cheese*, which needs to be *processed* into a *Cheese Slice*… Close the recipe window, and I’ll tell you which machines we will need.",這個食譜需要*奶酪*，而這個食材需要進行*處理*，變成*奶酪片*才能使用...關閉食譜窗口，我來告訴你這個過程需要什麼機器來完成。
Tutorial Texts/OrderReader-Step03-01,Text,,"Wait… this assembler already has two Robot Arms feeding ingredients into it, which is the maximum it can support.... ",等一下...已經有兩台機械臂在給這個組合機供給食材，不能再多加了...
Tutorial Texts/OrderReader-Step03-02,Text,,"If we are adding Cheese, we will need to transport it to the Assembler on the *same conveyor belts* that the burger buns use. ",如果我們要加奶酪的話，就要使用運輸漢堡麵包的*同一條傳送帶*將奶酪運送到組合機。
Tutorial Texts/OrderReader-Step03-03,Text,,"The *Robot Arm (Dumb)* that is currently picking up the Burger Bun will pick up *any* ingredient, so it will be able to place the Cheese Slice into the Assembler too.",當前負責拾取漢堡麵包的*機械臂（非智能）*是*不管什麼*食材都會拾取的，所以也可以把奶酪片放到組合機裡。
Tutorial Texts/OrderReader-Step04-01,Text,,"Click on the *Dispenser* in the Parts list, and place it in the marked location. Rotate it using the *{PartRotateLeft}* and *{PartRotateRight}* keys so that it is facing towards the Assembler.",在部件列表中點擊*分配器*，然後將其放置在標記的地點。你可以用*{PartRotateLeft}*和*{PartRotateRight}*鍵旋轉部件讓它面對組合機。
Tutorial Texts/OrderReader-Step04-01-Switch,Text,,"Press [ToggleFocus] and select the *Dispenser* in the Parts list, and place it in the marked location. Rotate it using the [RotateLeft] and [RotateRight] buttons so that it is facing towards the Assembler.",按下[ToggleFocus]在部件列表中選擇*分配器*，然後將其放置在標記的地點。你可以用[RotateLeft]和[RotateRight]按鈕旋轉部件，讓它面對組合機。
Tutorial Texts/OrderReader-Step04B-01,Text,,*Right click* on the new Dispenser and configure it to dispense *Cheese*.,*右鍵點擊*新的分配器，將其設置為分配*奶酪*。
Tutorial Texts/OrderReader-Step05-01,Text,,*Right click* on the new Dispenser and configure it to dispense *Cheese*.,*右鍵點擊*新的分配器，將其設置為分配*奶酪*。
Tutorial Texts/OrderReader-Step05-01-Switch,Text,,Highlight the new Dispenser and press [ConfigurePart] to view its Properties Window. Configure it to dispense *Cheese*.,高亮選擇新的分配器，按下[ConfigurePart]查看其屬性窗口，並將其設置為分配*奶酪*。
Tutorial Texts/OrderReader-Step06-01,Text,,"Now we need a *Food Processor* to turn the *Cheese* into a *Cheese Slice*. Click on the *Food Processor* in the Parts List, and place it in the marked location, facing the Assembler.",接下來，我們需要一台*食品處理機*將*奶酪*變成*奶酪片*。在部件列表中點擊*食品處理機*，將其朝向組合機的方向，放置在標記的位置。
Tutorial Texts/OrderReader-Step06-01-Switch,Text,,"Now we need a *Food Processor* to turn the *Cheese* into a *Cheese Slice*. Press [ToggleFocus] then select the *Food Processor* in the Parts List, and place it in the marked location, facing the Assembler.",接下來，我們需要一台*食品處理機*將*奶酪*變成*奶酪片*。按下[ToggleFocus]在部件列表中點擊*食品處理機*，將其朝向組合機的方向，放置在標記的位置。
Tutorial Texts/OrderReader-Step06-02,Text,,...,...
Tutorial Texts/OrderReader-Step06B-01,Text,,...and then set the slider below to 1. This means that whenever a customer orders a *Cheeseburger* the *Order Reader* will command the *Assembler* to produce exactly one.,...然後將下方的滑塊設置至1。這也就是說，當顧客訂購*奶酪漢堡*的時候，*訂單讀取器*就會命令*組合機*生產一個。
Tutorial Texts/OrderReader-Step07-01,Text,,As an additional measure to use less electricity we'll also connect the *Order Reader* to the *Grill* so it will only be on when a *Cheeseburger* order is pending.,我們還要採取額外的節能措施，將*訂單讀取器*與*烤架*連接在一起，這樣只有在收到*奶酪漢堡*訂單的時候，烤架才會啟動。
Tutorial Texts/OrderReader-Step07-02,Text,,Click on the *+ NEW CONNECTION TO PART* button and then click on the *Grill* to connect it.,點擊*+ 新建部件連接*按鈕，然後點擊*烤架*進行連接。
Tutorial Texts/OrderReader-Step07-02-Switch,Text,,Select the *+ NEW CONNECTION TO PART* button and then highlight the *Grill* and press [SelectPart] to make a connection.,選擇*+ 新建部件連接*按鈕，然後高亮選擇*烤架*，按下[SelectPart]進行連接。
Tutorial Texts/OrderReader-Step08-01,Text,,"The Food Processor requires no additional set up, it will automatically process any ingredient that passes through it. Some more advanced dishes will require ingredients to be processed multiple times.",食品處理機不需要進行額外設置，它會自動對收到的食材進行處理。有些高級的菜肴會需要經過多次處理的食材。
Tutorial Texts/OrderReader-Step09-01,Text,,"Now we just need to reconfigure the Assembler! *Right Click* on the Assembler, and select *Cheeseburger* in the Recipe drop-down. ",接下來，我們只要重新設置組合機就可以啦！*右鍵點擊*組合機，然後從下拉選單中選擇*奶酪漢堡*。 
Tutorial Texts/OrderReader-Step09-01-Switch,Text,,"Now we just need to reconfigure the Assembler! Highlight the Assembler, press [ConfigurePart] to open its Properties Window and select *Cheeseburger* in the Recipe drop-down. ",接下來，我們只要重新設置組合機就可以啦！高亮選擇組合機，按下[ConfigurePart]打開屬性窗口，然後從食譜下拉列表中選擇*奶酪漢堡*。
Tutorial Texts/OrderReader-Step09-02,Text,,Click on the *+ NEW CONNECTION TO PART* button and then click on the *Dispenser* to connect it.,點擊*+ 新建部件連接*按鈕，然後點擊*分配器*進行連接。
Tutorial Texts/OrderReader-Step09-02-Switch,Text,,"Select the *+ NEW CONNECTION TO PART* button, then highlight the *Dispenser* and press [SelectPart] to connect it.",選擇*+ 新建部件連接*按鈕，然後高亮選擇*分配器*，按下[SelectPart]進行連接。
Tutorial Texts/OrderReader-Step10-01,Text,,Now to run the kitchen and check everything works! Press the *START* button to begin...,接下來，讓廚房運行一下，看看一切是否順利吧！按下*開始*按鈕就可以開始了...
Tutorial Texts/OrderReader-Step10-01-Switch,Text,,Now to run the kitchen and check everything works! Press [StartSimulation] to begin...,接下來，讓廚房運行一下，看看一切是否順利吧！按下[StartSimulation]即可開始...
Tutorial Texts/OrderReader-Step10B-01,Text,,...and then set the slider to 1. This guarantees that we'll only dispense one *Raw Patty* for every *Cheeseburger* order we receive.,...然後把滑塊設置成1。這樣一來，就能確保我們每收到一個*奶酪漢堡*的訂單，只會分配出一份*生肉餅*。
Tutorial Texts/OrderReader-Step11-01,Text,,"This kitchen has a flaw, it will endlessly produce Cheeseburgers! What a waste of ingredients and, more importantly, electricity! Misuse of electrons makes me feel sad and angry…",這個廚房有一個重大缺陷，它會生產無窮無盡的奶酪漢堡！不僅浪費食材，而且更重要的是，還浪費電！胡亂使用電子，總是讓我悲憤不已...
Tutorial Texts/OrderReader-Step11-02,Text,,"Ingredients are constantly being dispensed, and the grill is always on, even if no one has ordered a Cheeseburger! That cannot be allowed!",就算根本沒有人點奶酪漢堡，機器也一直在分配食材，烤架也是一直開着！這可不能忍！
Tutorial Texts/OrderReader-Step12-01,Text,,"We can fix this by placing an *Order Reader*, to ensure Cheeseburgers are prepared only when an order comes through. Select the *Order Reader* in the Parts list, and place it in the location I’ve highlighted. ",我們可以放一個*訂單讀取器*進行修復，確保只有在收到訂單時才準備奶酪漢堡。在部件列表中選擇*訂單讀取器*，然後將它放到高亮顯示的位置。
Tutorial Texts/OrderReader-Step12-01-Switch,Text,,"We can fix this by placing an *Order Reader*, to ensure Cheeseburgers are prepared only when an order comes through. Select the *Order Reader* in the Parts list, and place it in the location I’ve highlighted.",我們可以放一個*訂單讀取器*來解決這個問題，確保只有在收到訂單時才準備奶酪漢堡。在部件列表中選擇*訂單讀取器*，然後將它放到高亮顯示的位置。
Tutorial Texts/OrderReader-Step13-01,Text,,Nice! Let's see what happens!,好極了！就來看看效果到底如何吧！
Tutorial Texts/OrderReader-Step14-01,Text,,"*Right Click* on the Order Reader, and set it to detect *Cheeseburger* orders.",*右鍵點擊*訂單讀取器，然後將其設置為檢測*奶酪漢堡*訂單。
Tutorial Texts/OrderReader-Step14-01-Switch,Text,,"Highlight the Order Reader and press [ConfigurePart] to open its Properties Window, and set it to detect *Cheeseburger* orders.",高亮選擇訂單讀取器，按下[ConfigurePart]打開其屬性窗口，然後將其設置為檢測*奶酪漢堡*訂單。
Tutorial Texts/OrderReader-Step14B-01,Text,,"Now that the order reader will detect whenever a cheeseburger order is placed, we can use it to control up to four other machines.",既然訂單讀取器已經設置為檢測是否有奶酪漢堡的訂單，我們還可以用它控制四台其他機器。
Tutorial Texts/OrderReader-Step14B-02,Text,,"We are wasting ingredients currently, so we will use the order reader to instruct the dispensers to dispense a single ingredient each, only when a new order arrives.",我們現在正在浪費大量食材，所以要使用訂單讀取器對分配器下達指令，只有在收到新訂單的時候才把每種食材分配一份。
Tutorial Texts/OrderReader-Step14B-03,Text,,"And that grill is constantly on, wasting electricity... so we can control it to only be on whilst an order is pending!",還有，那烤架一直處於開啟狀態，簡直浪費電力...所以，我們可以對它進行控制，只有在訂單進行的時候才啟動！
Tutorial Texts/OrderReader-Step15-01,Text,,Now select *+ NEW CONNECTION TO PART*.,接下來選擇*+ 新建部件連接*。
Tutorial Texts/OrderReader-Step15-01-Switch,Text,,Now select *+ NEW CONNECTION TO PART*.,接下來選擇*+ 新建部件連接*。
Tutorial Texts/OrderReader-Step16-01,Text,,*Left Click* on the *Cheese Dispenser* to create a connection to that part.,*左鍵點擊**奶酪分配器*，將其與部件連接。
Tutorial Texts/OrderReader-Step16-01-Switch,Text,,Highlight the *Cheese Dispenser* and press [SelectPart] to create a connection to that part.,高亮選擇*奶酪分配器*，按下[SelectPart]將其與部件連接
Tutorial Texts/OrderReader-Step17B-01,Text,,Excellent! Now select *+ NEW CONNECTION TO PART* again,好極了！接下來再次選擇*+ 新建部件連接*。
Tutorial Texts/OrderReader-Step18-01,Text,,*Left Click* on the *Raw Patty Dispenser* to create a connection to that part.,*左鍵點擊**生肉餅分配器*，將其與部件連接。
Tutorial Texts/OrderReader-Step18-01-Switch,Text,,Highlight the *Raw Patty Dispenser* and press [SelectPart] to create a connection to that part.,高亮選擇*生肉餅分配器*，按下[SelectPart]將其與部件連接
Tutorial Texts/OrderReader-Step19-01,Text,,"Select *Do Nothing* to expand the control options, then scroll the options so *Perform action 1 time on new order* is set.",選擇*閒置*展開控制選項，然後將選項設置為*收到新訂單時進行1次行動*。
Tutorial Texts/OrderReader-Step19B-01,Text,,One last Dispenser to connect to! select *+ NEW CONNECTION TO PART* again.,就剩最後一台分配器要設置了！再次選擇*+ 新建部件連接*。
Tutorial Texts/OrderReader-Step20-01,Text,,*Left* Clickon the *Burger Bun Dispenser* to create a connection to that part,*左鍵*點擊*漢堡麵包分配器*，將其與部件連接。
Tutorial Texts/OrderReader-Step20-01-Switch,Text,,Highlight the *Burger Bun Dispenser* and press [SelectPart] to create a connection to that part.,高亮選擇*漢堡麵包分配器*，按下[SelectPart]將其與部件連接
Tutorial Texts/OrderReader-Step21-01,Text,,"Select *Do Nothing* to expand the control options, then... you guessed it! Scroll the options so *Perform action 1 time on new order* is set.",選擇*閒置*展開控制選項，然後...猜得沒錯！將選項設置為*收到新訂單時進行1次行動*。
Tutorial Texts/OrderReader-Step21B-01,Text,,"Finally, let's control that Grill. Select *+ NEW CONNECTION TO PART*.",最後，設置對烤架的控制。選擇*+ 新建部件連接*。
Tutorial Texts/OrderReader-Step22-01,Text,,*Left Click* on the *Grill* to create a connection to that part,*左鍵點擊**烤架*，將其與部件連接。
Tutorial Texts/OrderReader-Step22-01-Switch,Text,,Highlight the *Grill* then press [SelectPart] to create a connection to that part.,高亮選擇*烤架*，按下[SelectPart]將其與部件連接
Tutorial Texts/OrderReader-Step23-01,Text,,"Select *Do Nothing* to expand the control options, then scroll the options so *On while order is pending* is set.",選擇*閒置*展開控制選項，然後將選項設置為*僅在訂單待處理時啟動*。
Tutorial Texts/OrderReader-Step24-01,Text,,"Great work! Now let’s see what happens, press *START* to begin...",幹得好！接下來看看效果如何。按*開始*即可開始測試...
Tutorial Texts/OrderReader-Step24-01-Switch,Text,,"Great work! Now let’s see what happens, press [StartSimulation] to begin...",幹得好！接下來看看效果如何。按[StartSimulation]開始...
Tutorial Texts/OrderReader-Step25-01,Text,,On the left there are where customer orders will appear. I’ll simulate some customer orders. ‘Simulate’... makes me sound almost like a machine?! How humourous!,顧客的訂單會出現在左側。我來模擬一些顧客訂單。''模擬''...會不會讓我聽起來很像機器人？！真是太幽默啦！
Tutorial Texts/OrderReader-Step26-01,Text,,"Perfect! We’ve vastly improved the efficiency of our Kitchen, I knew you were the person for the job! I think it’s time to start on our first premises, the world won’t know what is about to UNFOLD! HAHA! Erm… yes, let’s open our first restaurant then, shall we?",完美！我們已經大大提升了廚房的效率，我就知道找你准沒錯！是時候開始我們的第一處場地了，全世界都不知道，馬上就要出大事啦！哈哈！呃...沒錯，我們就來開第一家餐館吧，嗯？
Tutorial Texts/PowerUsage-Step01-01,Text,,"Welcome again, my dear partner! Today I'm going to show you a couple of tricks to reduce power usage in our kitchens.",又見面了，我親愛的搭檔！今天，我要教你幾個小技巧，降低廚房的電力消耗。
Tutorial Texts/PowerUsage-Step01-02,Text,,"I’ve got my eye on a premises by the beach which has old power lines, and we will cause a blackout if we use too much electricity!",我看上了一處電網老舊的沙灘場地，如果使用電能太多，就會造成停電！
Tutorial Texts/PowerUsage-Step01-03,Text,,The good news is that with some clever ideas you can usually get around those limitations! Let's get our carbon-based brains working!,好消息是，要是有好的點子，應該就可以繞過這些限制！我們快來開動我們碳基生物的大腦吧！
Tutorial Texts/PowerUsage-Step01-04,Text,,"The kitchen you see right now will most likely cause a blackout once both *Assemblers* start working at the same time, let me show you!",你現在看到的這個廚房，一旦兩台*組合機*同時啟動，就很可能造成停電。我來給你展示一下吧！
Tutorial Texts/PowerUsage-Step01B-01,Text,,I will start the machines to show you what I mean...,等我啟動機器，你就明白我是什麼意思了...
Tutorial Texts/PowerUsage-Step02-01,Text,,See? That peak in electricity usage caused a blackout and our restaurant cannot continue working!,看到沒？電力使用的峰值導致了停電，我們的餐館也沒辦法繼續運作了！
Tutorial Texts/PowerUsage-Step02-02,Text,,"First of all, I want you to right click on the *Plain Burger* *Assembler* (the Assembler at the top) to open the Properties Window.",首先，我要你右鍵點擊*普通漢堡**組合機*（上方的組合機），打開屬性窗口。
Tutorial Texts/PowerUsage-Step02-02-Switch,Text,,"First of all, I want you to highlight the *Plain Burger* *Assembler* (the Assembler at the top) and press [ConfigurePart] to open the Properties Window.",首先，我要你高亮選擇*普通漢堡**組合機*（上方的組合機），然後按下[ConfigurePart]打開屬性窗口。
Tutorial Texts/PowerUsage-Step03-01,Text,,"Now we can change the Operation Mode to *Power Saving*. That will make this machine use less electricity, but it will also take a longer time to assemble dishes.",接下來，我們可以把操作模式切換為*節能*。這樣一來，機器消耗的電力就會減少，但組合菜肴所需要的時間也會變長。
Tutorial Texts/PowerUsage-Step04-01,Text,,"Great, now make the same change to the *Cheeseburger* *Assembler*!",好極了，接下來也對*奶酪漢堡**組合機*應用相同的改動！
Tutorial Texts/PowerUsage-Step05-01,Text,,"Now our *Assemblers* use 20% less electricity than before, but they will take 50% longer to assemble the *Burgers*.",這下，我們的*組合機*耗電就比之前降低了20%，但組合*漢堡*所要花費的時間延長了50%。
